Bottom,Height,Top,Mass_cup,Mass_lid,Mass_packaging
2.84055,4.34055,2.84055,0.0071219,0.0056504,0.0056161
2.84055,4.34055,2.94055,0.0072318,0.0057462,0.0059379
2.84055,4.34055,3.04055,0.0073426,0.0058421,0.0062663
2.84055,4.34055,3.14055,0.0074543,0.0059379,0.0066013
2.84055,4.34055,3.24055,0.0075669,0.0060338,0.006943
2.84055,4.34055,3.34055,0.0076804,0.0061296,0.0072914
2.84055,4.34055,3.44055,0.007795,0.0062254,0.0076464
2.84055,4.34055,3.54055,0.0079106,0.0063213,0.008008
2.84055,4.34055,3.64055,0.0080273,0.0064171,0.0083763
2.84055,4.34055,3.74055,0.0081451,0.006513,0.0087513
2.84055,4.34055,3.84055,0.0082641,0.0066088,0.0091329
2.84055,4.24055,2.84055,0.0069806,0.0056504,0.0056161
2.84055,4.24055,2.94055,0.0070881,0.0057462,0.0059379
2.84055,4.24055,3.04055,0.0071964,0.0058419,0.0062663
2.84055,4.24055,3.14055,0.0073056,0.0059377,0.0066013
2.84055,4.24055,3.24055,0.0074157,0.0060335,0.006943
2.84055,4.24055,3.34055,0.0075268,0.0061293,0.0072914
2.84055,4.24055,3.44055,0.007639,0.0062251,0.0076464
2.84055,4.24055,3.54055,0.0077523,0.0063209,0.008008
2.84055,4.24055,3.64055,0.0078666,0.0064166,0.0083763
2.84055,4.24055,3.74055,0.0079821,0.0065124,0.0087513
2.84055,4.24055,3.84055,0.0080988,0.0066082,0.0091329
2.84055,4.14055,2.84055,0.0068393,0.0056504,0.0056161
2.84055,4.14055,2.94055,0.0069443,0.0057461,0.0059379
2.84055,4.14055,3.04055,0.0070501,0.0058418,0.0062663
2.84055,4.14055,3.14055,0.0071568,0.0059375,0.0066013
2.84055,4.14055,3.24055,0.0072646,0.0060332,0.006943
2.84055,4.14055,3.34055,0.0073733,0.006129,0.0072914
2.84055,4.14055,3.44055,0.0074831,0.0062247,0.0076464
2.84055,4.14055,3.54055,0.0075939,0.0063204,0.008008
2.84055,4.14055,3.64055,0.007706,0.0064161,0.0083763
2.84055,4.14055,3.74055,0.0078192,0.0065118,0.0087513
2.84055,4.14055,3.84055,0.0079336,0.0066075,0.0091329
2.84055,4.04055,2.84055,0.0066981,0.0056504,0.0056161
2.84055,4.04055,2.94055,0.0068005,0.005746,0.0059379
2.84055,4.04055,3.04055,0.0069038,0.0058417,0.0062663
2.84055,4.04055,3.14055,0.0070081,0.0059373,0.0066013
2.84055,4.04055,3.24055,0.0071134,0.006033,0.006943
2.84055,4.04055,3.34055,0.0072197,0.0061286,0.0072914
2.84055,4.04055,3.44055,0.0073271,0.0062243,0.0076464
2.84055,4.04055,3.54055,0.0074356,0.0063199,0.008008
2.84055,4.04055,3.64055,0.0075453,0.0064156,0.0083763
2.84055,4.04055,3.74055,0.0076563,0.0065112,0.0087513
2.84055,4.04055,3.84055,0.0077684,0.0066069,0.0091329
2.84055,3.94055,2.84055,0.0076033,0.0056504,0.0056161
2.84055,3.94055,2.94055,0.0076033,0.0057459,0.0059379
2.84055,3.94055,3.04055,0.0067576,0.0058415,0.0062663
2.84055,3.94055,3.14055,0.0068594,0.0059371,0.0066013
2.84055,3.94055,3.24055,0.0069623,0.0060327,0.006943
2.84055,3.94055,3.34055,0.0070662,0.0061283,0.0072914
2.84055,3.94055,3.44055,0.0071712,0.0062238,0.0076464
2.84055,3.94055,3.54055,0.0072774,0.0063194,0.008008
2.84055,3.94055,3.64055,0.0073848,0.006415,0.0083763
2.84055,3.94055,3.74055,0.0074934,0.0065106,0.0087513
2.84055,3.94055,3.84055,0.0076033,0.0066061,0.0091329
2.84055,3.84055,2.84055,0.0064155,0.0056504,0.0056161
2.84055,3.84055,2.94055,0.0065129,0.0057459,0.0059379
2.84055,3.84055,3.04055,0.0066113,0.0058414,0.0062663
2.84055,3.84055,3.14055,0.0067107,0.0059369,0.0066013
2.84055,3.84055,3.24055,0.0068111,0.0060324,0.006943
2.84055,3.84055,3.34055,0.0069126,0.0061279,0.0072914
2.84055,3.84055,3.44055,0.0070153,0.0062234,0.0076464
2.84055,3.84055,3.54055,0.0071191,0.0063189,0.008008
2.84055,3.84055,3.64055,0.0072242,0.0064144,0.0083763
2.84055,3.84055,3.74055,0.0073306,0.0065099,0.0087513
2.84055,3.84055,3.84055,0.0074382,0.0066054,0.0091329
2.84055,3.74055,2.84055,0.0062742,0.0056504,0.0056161
2.84055,3.74055,2.94055,0.0063691,0.0057458,0.0059379
2.84055,3.74055,3.04055,0.0064651,0.0058412,0.0062663
2.84055,3.74055,3.14055,0.006562,0.0059366,0.0066013
2.84055,3.74055,3.24055,0.00666,0.0060321,0.006943
2.84055,3.74055,3.34055,0.0067591,0.0061275,0.0072914
2.84055,3.74055,3.44055,0.0068594,0.0062229,0.0076464
2.84055,3.74055,3.54055,0.0069609,0.0063183,0.008008
2.84055,3.74055,3.64055,0.0070637,0.0064137,0.0083763
2.84055,3.74055,3.74055,0.0071678,0.0065092,0.0087513
2.84055,3.74055,3.84055,0.0072732,0.0066046,0.0091329
2.84055,3.64055,2.84055,0.0061329,0.0056504,0.0056161
2.84055,3.64055,2.94055,0.0062254,0.0057457,0.0059379
2.84055,3.64055,3.04055,0.0063188,0.005841,0.0062663
2.84055,3.64055,3.14055,0.0064133,0.0059364,0.0066013
2.84055,3.64055,3.24055,0.0065089,0.0060317,0.006943
2.84055,3.64055,3.34055,0.0066056,0.0061271,0.0072914
2.84055,3.64055,3.44055,0.0067036,0.0062224,0.0076464
2.84055,3.64055,3.54055,0.0068028,0.0063177,0.008008
2.84055,3.64055,3.64055,0.0069033,0.0064131,0.0083763
2.84055,3.64055,3.74055,0.0070051,0.0065084,0.0087513
2.84055,3.64055,3.84055,0.0071083,0.0066037,0.0091329
2.74055,4.34055,2.74055,0.0068347,0.0054534,0.005301
2.74055,4.34055,2.84055,0.0069446,0.0055492,0.0056161
2.74055,4.34055,2.94055,0.0070553,0.0056451,0.0059379
2.74055,4.34055,3.04055,0.0071669,0.0057409,0.0062663
2.74055,4.34055,3.14055,0.0072794,0.0058368,0.0066013
2.74055,4.34055,3.24055,0.0073928,0.0059326,0.006943
2.74055,4.34055,3.34055,0.0075072,0.0060285,0.0072914
2.74055,4.34055,3.44055,0.0076227,0.0061243,0.0076464
2.74055,4.34055,3.54055,0.0077391,0.0062202,0.008008
2.74055,4.34055,3.64055,0.0078567,0.006316,0.0083763
