bottom,height,top,Body 1,Body 2,Body 3
2.44055,4.34016,2.44055,0.0066585,0.0048625,0.0043956
2.44055,4.34016,2.54055,0.0060974,0.0049583,0.0046908
2.44055,4.34016,2.64055,0.006208,0.0050541,0.0049926
2.44055,4.34016,2.74055,0.0063194,0.00515,0.005301
2.44055,4.34016,2.84055,0.0064315,0.0052458,0.0056161
2.44055,4.34016,2.94055,0.0065446,0.0053417,0.0059379
2.44055,4.34016,3.04055,0.0066585,0.0054375,0.0062663
2.44055,4.34016,3.14055,0.0067733,0.0055334,0.0066013
2.44055,4.34016,3.24055,0.0068892,0.0056292,0.006943
2.44055,4.34016,3.34055,0.007006,0.0057251,0.0072914
2.44055,4.34016,3.44055,0.0071239,0.0058209,0.0076464
2.44055,4.24016,2.44055,0.0058663,0.0048625,0.0043956
2.44055,4.24016,2.54055,0.0059737,0.0049582,0.0046908
2.44055,4.24016,2.64055,0.0060818,0.005054,0.0049926
2.44055,4.24016,2.74055,0.0061907,0.0051498,0.005301
2.44055,4.24016,2.84055,0.0063004,0.0052456,0.0056161
2.44055,4.24016,2.94055,0.006411,0.0053414,0.0059379
2.44055,4.24016,3.04055,0.0065225,0.0054371,0.0062663
2.44055,4.24016,3.14055,0.006635,0.0055329,0.0066013
2.44055,4.24016,3.24055,0.0067485,0.0056287,0.006943
2.44055,4.24016,3.34055,0.006863,0.0057245,0.0072914
2.44055,4.24016,3.44055,0.0069786,0.0058203,0.0076464
2.44055,4.14016,2.44055,0.0057451,0.0048625,0.0043956
2.44055,4.14016,2.54055,0.00585,0.0049582,0.0046908
2.44055,4.14016,2.64055,0.0059556,0.0050539,0.0049926
2.44055,4.14016,2.74055,0.0060621,0.0051496,0.005301
2.44055,4.14016,2.84055,0.0061694,0.0052453,0.0056161
2.44055,4.14016,2.94055,0.0062775,0.005341,0.0059379
2.44055,4.14016,3.04055,0.0063866,0.0054368,0.0062663
2.44055,4.14016,3.14055,0.0064967,0.0055325,0.0066013
2.44055,4.14016,3.24055,0.0066078,0.0056282,0.006943
2.44055,4.14016,3.34055,0.00672,0.0057239,0.0072914
2.44055,4.14016,3.44055,0.0068333,0.0058196,0.0076464
2.44055,4.04016,2.44055,0.006688,0.0048625,0.0043956
2.44055,4.04016,2.54055,0.006688,0.0049581,0.0046908
2.44055,4.04016,2.64055,0.0058295,0.0050537,0.0049926
2.44055,4.04016,2.74055,0.0059334,0.0051494,0.005301
2.44055,4.04016,2.84055,0.0060383,0.005245,0.0056161
2.44055,4.04016,2.94055,0.006144,0.0053407,0.0059379
2.44055,4.04016,3.04055,0.0062507,0.0054363,0.0062663
2.44055,4.04016,3.14055,0.0063584,0.005532,0.0066013
2.44055,4.04016,3.24055,0.0064672,0.0056276,0.006943
2.44055,4.04016,3.34055,0.006577,0.0057233,0.0072914
2.44055,4.04016,3.44055,0.006688,0.0058189,0.0076464
2.44055,3.94016,2.44055,0.0065428,0.0048625,0.0043956
2.44055,3.94016,2.54055,0.0056026,0.004958,0.0046908
2.44055,3.94016,2.64055,0.0057033,0.0050536,0.0049926
2.44055,3.94016,2.74055,0.0058048,0.0051492,0.005301
2.44055,3.94016,2.84055,0.0059072,0.0052448,0.0056161
2.44055,3.94016,2.94055,0.0060105,0.0053403,0.0059379
2.44055,3.94016,3.04055,0.0061148,0.0054359,0.0062663
2.44055,3.94016,3.14055,0.0062202,0.0055315,0.0066013
2.44055,3.94016,3.24055,0.0063266,0.0056271,0.006943
2.44055,3.94016,3.34055,0.0064341,0.0057226,0.0072914
2.44055,3.94016,3.44055,0.0065428,0.0058182,0.0076464
2.44055,3.84016,2.44055,0.0053816,0.0048625,0.0043956
2.44055,3.84016,2.54055,0.0054789,0.004958,0.0046908
2.44055,3.84016,2.64055,0.0055771,0.0050535,0.0049926
2.44055,3.84016,2.74055,0.0056762,0.005149,0.005301
2.44055,3.84016,2.84055,0.0057761,0.0052445,0.0056161
2.44055,3.84016,2.94055,0.005877,0.00534,0.0059379
2.44055,3.84016,3.04055,0.005979,0.0054355,0.0062663
2.44055,3.84016,3.14055,0.006082,0.005531,0.0066013
2.44055,3.84016,3.24055,0.006186,0.0056265,0.006943
2.44055,3.84016,3.34055,0.0062913,0.005722,0.0072914
2.44055,3.84016,3.44055,0.0063977,0.0058175,0.0076464
2.44055,3.74016,2.44055,0.0052604,0.0048625,0.0043956
2.44055,3.74016,2.54055,0.0053552,0.0049579,0.0046908
2.44055,3.74016,2.64055,0.0054509,0.0050533,0.0049926
